# lon lat
7.4356687 51.4352803
7.4357205 51.4352865
7.4358048 51.4352971
7.4361031 51.4353361
7.436172 51.4353451
7.4364292 51.4353825
7.4369584 51.4354596
7.4370075 51.4354667
7.4373724 51.4355197
7.4374683 51.4355322
7.437627 51.4355529
7.4378631 51.4355806
7.4379512 51.4355909
7.4382615 51.4356272
7.4384005 51.4356406
7.438649 51.4356574
7.438716 51.4356527
7.4389311 51.4356228
7.439168 51.43559
7.4394791 51.4355365
7.4395436 51.4355253
7.4397096 51.4355024
7.4397888 51.4354721
7.4402426 51.4352982
7.4403482 51.4352578
7.440593 51.4351666
7.4410837 51.4349838
7.4411398 51.4349629
7.4414887 51.4348329
7.4418572 51.434737
7.441926 51.4347189
7.4419686 51.434709
7.4420178 51.4347046
7.4420983 51.4346996
7.4429018 51.4346492
7.4433438 51.4346227
7.4436594 51.4346037
7.4437927 51.43462
7.4441044 51.4346565
7.4443404 51.4346841
7.4445722 51.4347113
7.4454984 51.4348197
7.4458266 51.4348751
7.4459635 51.4349076
7.4461686 51.4349562
7.4464173 51.4350153
7.4467144 51.4350858
7.4468806 51.4351223
7.4471795 51.4352111
7.447251 51.4352311
7.4476394 51.4353394
7.4476868 51.4353526
7.447766 51.4353749
7.4480875 51.4354656
7.4481292 51.4354753
7.4482755 51.4355087
7.4484797 51.4355555
7.4487274 51.4356121
7.4487676 51.4356213
7.4490412 51.4356828
7.4491675 51.4357111
7.4492429 51.435728
7.4492852 51.4357332
7.449463 51.4357548
7.4497025 51.4357839
7.4498051 51.4357964
7.4499917 51.4358191
7.4501988 51.4358452
7.4505342 51.4358685
7.4506131 51.4358812
7.4509084 51.435929
7.4512039 51.4359767
7.4513931 51.4360072
7.4516369 51.4360421
7.452081 51.4360942
7.452602 51.4361361
7.4526449 51.4361496
7.4528296 51.4361681
7.4531397 51.4361923
7.4531791 51.4361956
7.4535843 51.4362294
7.4539024 51.4362523
7.4542031 51.4362721
7.4545072 51.4362991
7.4546447 51.4363081
7.454914 51.4363196
7.4551144 51.4363246
7.4551273 51.4363164
7.4551726 51.4363185
7.4551821 51.4363295
7.4552902 51.4363306
7.4554573 51.4363291
7.4556431 51.4363238
7.455718 51.4363224
7.4557586 51.4363216
7.4559103 51.4363119
7.4560839 51.436288
7.4562144 51.4362714
7.456305 51.436256
7.4563631 51.4362442
7.4565461 51.4362146
7.4566475 51.4361986
7.4567659 51.4361793
7.4569382 51.4361445
7.4569694 51.4361366
7.4570793 51.436109
7.4572038 51.4360818
7.4573958 51.4360503
7.4574644 51.4360337
7.4575701 51.4360154
7.4577042 51.4359941
7.4578969 51.4359525
7.4581263 51.4359134
7.4582739 51.4359105
7.4583863 51.4359115
7.4584832 51.4359195
7.4586459 51.4359329
7.4588295 51.4359419
7.4590469 51.4359579
7.4592274 51.4359717
7.4593434 51.4359808
7.4594174 51.4359872
7.4595254 51.4359967
7.4596 51.4360049
7.4596422 51.4360096
7.4597789 51.4360268
7.4598163 51.4360314
7.4600349 51.4360608
7.460215 51.4360869
7.4603855 51.4361113
7.4604775 51.4361246
7.460737 51.4361569
7.4607725 51.4361614
7.4611379 51.4362588
7.4612931 51.436305
7.4614024 51.436318
7.4614548 51.4363172
7.4614814 51.4362922
7.4615008 51.4362277
7.4619089 51.43509
7.4622357 51.4341787
7.4623104 51.4341067
7.462573 51.4338538
7.4629235 51.4339225
7.4631409 51.4339651
7.4634516 51.4339614
7.4638694 51.4339373
7.4640767 51.4339568
7.4646167 51.4340639
7.4651147 51.4341627
7.4654429 51.4342279
7.4657029 51.4342795
7.4665685 51.4344653
7.4667926 51.4345135
7.4668067 51.4345164
7.4668364 51.4345228
7.4668837 51.4344685
7.4669094 51.4344392
7.4669298 51.4344157
7.4670046 51.4340952
7.4670743 51.4338199
7.4670778 51.4338059
7.4671856 51.4333749
7.4673671 51.4326775
7.4674126 51.4325022
7.4674389 51.4324533
7.4673956 51.4324447
7.467347 51.4324351
7.4673782 51.4323532
7.4674385 51.4317761
7.4674463 51.4316886
7.4675003 51.4311646
7.4674274 51.4311047
7.4669674 51.4307261
7.4666396 51.430448
7.4662578 51.4301354
7.4658997 51.4298444
7.465768 51.4297101
7.4657224 51.429647
7.4655326 51.4293849
7.4653355 51.4290908
7.4652014 51.4288415
7.4651113 51.428635
7.464999 51.4282309
7.4649887 51.4281907
7.4648991 51.427842
7.4648248 51.4275801
7.4647689 51.4273836
7.4648834 51.4273653
7.4648815 51.4273379
7.4648831 51.4270477
7.4648836 51.4269545
7.4648843 51.4268398
7.4648851 51.4266904
7.4649032 51.4264567
7.464902 51.4264042
7.4649 51.4262034
7.4648998 51.4261944
7.4648949 51.4259652
7.4645889 51.4256466
7.4644757 51.425559
7.4644302 51.4255238
7.4642763 51.4253055
7.4640017 51.4249282
7.4638014 51.4246607
7.4636979 51.4244937
7.4635752 51.4241866
7.4635823 51.4241546
7.4637258 51.4235039
7.4637356 51.4234588
7.4637633 51.4233334
7.463785 51.4228495
7.4638767 51.4224563
7.463912 51.4219356
7.4639245 51.4218556
7.4639326 51.4218081
7.4639356 51.4214873
7.4639297 51.4212446
7.4639144 51.4209486
7.4639322 51.4207042
7.4639413 51.4205778
7.4638567 51.4204433
7.4638441 51.420324
7.4638319 51.4202085
7.4638173 51.4201006
7.4637876 51.4198792
7.4637866 51.4196167
7.4638022 51.4195014
7.4637946 51.4194751
7.463716 51.4192032
7.4638178 51.4186823
7.4638379 51.4185613
7.4639639 51.4182276
7.4640181 51.4179514
7.4643264 51.4176905
7.464479 51.4173069
7.4645845 51.4172563
7.4648067 51.4171497
7.4648863 51.4171116
7.4649349 51.4170883
7.4649621 51.4170752
7.4649976 51.4170582
7.4649559 51.4170568
7.4651025 51.416838
7.4660889 51.4168784
7.4669758 51.4169981
7.4679533 51.4171301
7.4691847 51.4172502
7.4739216 51.4175163
7.4759032 51.417711
7.4759405 51.4177118
7.4762743 51.4176912
7.4780365 51.4176656
7.4780573 51.4176652
7.4781187 51.417664
7.4781919 51.4176627
7.4782266 51.4176621
7.4782871 51.4176608
7.4785607 51.4176558
7.4795461 51.4176292
7.4817674 51.417625
7.4839723 51.4177155
7.4861201 51.4178917
7.486344 51.4178905
7.4863817 51.417925
7.4877415 51.4175856
7.4881114 51.417451
7.4884546 51.4173245
7.4900702 51.4167716
7.4903623 51.4167099
7.4913955 51.4163829
7.4916232 51.4162745
7.4917707 51.4164854
7.4926184 51.4159677
7.4926616 51.4159414
7.4926747 51.4159333
7.4927252 51.4159025
7.492775 51.4158721
7.492813 51.4158489
7.4928232 51.41584
7.4928505 51.415816
7.4929585 51.4157199
7.493131 51.4158
7.4936773 51.4160537
7.4944586 51.4163883
7.4951885 51.416677
7.495919 51.4169508
7.4963395 51.4171039
7.4963776 51.4170882
7.4965989 51.4170704
7.4967735 51.4170564
7.4967922 51.4170433
7.4968565 51.4171043
7.4970754 51.4172992
7.4972733 51.4173744
7.497888 51.4175721
7.4987192 51.4178152
7.4989894 51.4178959
7.4992681 51.4179673
7.4993023 51.4180103
7.4996938 51.418105
7.5002107 51.4182193
7.500669 51.4183115
7.500882 51.4183543
7.5010367 51.4183753
7.5011188 51.4183612
7.5014127 51.4183946
7.501556 51.4184308
7.5024364 51.4185219
7.5028452 51.4185506
7.5035886 51.418595
7.5041335 51.4185961
7.5041386 51.4185552
7.5045938 51.4185669
7.5048698 51.4185605
7.5053579 51.4185304
7.5053657 51.4185312
7.505662 51.4185623
7.5063168 51.418547
7.5075637 51.418407
7.508416 51.4182614
